OBJECTID,NBRDESC,ACRES,LABEL,COLOR_2
1,ABELL,46.7104316,Abell,2
2,ALLENDALE,260.0238638,Allendale,2
3,ARCADIA,144.6780746,Arcadia,2
4,ARLINGTON,115.5846892,Arlington,5
5,ARMISTEAD GARDENS,302.5856532,Armistead Gardens,2
6,ASHBURTON,225.5552358,Ashburton,3
7,BALTIMORE HIGHLANDS,96.96706957,Baltimore Highlands,4
8,PATTERSON PARK NEIGHBORHOOD,108.1126607,Patterson Park Neighborhood,2
9,BARCLAY,89.95306758,Barclay,1
10,BARRE CIRCLE,15.32702623,Barre Circle,3
11,BEECHFIELD,257.8901207,Beechfield,4
12,BELAIR-PARKSIDE,20.61651843,Belair-Parkside,4
13,BELLONA-GITTINGS,104.0378137,Bellona-Gittings,1
14,BEREA,217.6148991,Berea,5
15,BETTER WAVERLY,180.3378377,Better Waverly,4
16,BEVERLY HILLS,66.66386861,Beverly Hills,3
17,BIDDLE STREET,72.22397943,Biddle Street,4
18,BLYTHEWOOD,48.57094371,Blythewood,4
19,BOLTON HILL,145.74321,Bolton Hill,4
20,BOYD-BOOTH,24.7886201,Boyd-Booth,2
21,BREWERS HILL,57.05972687,Brewers Hill,3
22,BRIDGEVIEW/GREENLAWN,181.3133081,Bridgeview/Greenlawn,1
23,BROADWAY EAST,221.6575464,Broadway East,2
24,BROENING MANOR,104.0552013,Broening Manor,4
25,BROOKLYN,546.1213052,Brooklyn,4
26,BURLEITH-LEIGHTON,54.09849036,Burleith-Leighton,1
27,BUTCHER'S HILL,49.69167267,Butcher's Hill,1
28,CALLAWAY-GARRISON,121.7947176,Callaway-Garrison,1
29,CAMERON VILLAGE,66.45875364,Cameron Village,3
30,CANTON,365.1015115,Canton,4
31,CANTON INDUSTRIAL AREA,1592.614007,Canton Industrial Area,2
32,CARROLL - CAMDEN INDUSTRIAL AREA,449.9293814,Carroll - Camden Industrial Area,4
33,CARROLL PARK,220.1360668,Carroll Park,3
34,CARROLL-SOUTH HILTON,310.4618514,Carroll-South Hilton,3
35,CARROLLTON RIDGE,142.6398466,Carrollton Ridge,5
36,CEDARCROFT,85.5777501,Cedarcroft,3
37,CEDMONT,240.6308338,Cedmont,1
38,CEDONIA,180.6092963,Cedonia,2
39,CENTRAL FOREST PARK,95.57613308,Central Forest Park,2
40,CENTRAL PARK HEIGHTS,283.4201055,Central Park Heights,2
41,CHARLES NORTH,88.8304786,Charles North,2
42,CHERRY HILL,749.5690228,Cherry Hill,1
43,CHESWOLDE,547.375954,Cheswolde,3
44,CHINQUAPIN PARK,73.42640449,Chinquapin Park,4
45,ORCHARD RIDGE,177.6541102,Orchard Ridge,5
46,CLIFTON PARK,358.5842013,Clifton Park,2
47,COLDSPRING,415.9194403,Coldspring,5
48,COLDSTREAM HOMESTEAD MONTEBELLO,329.4312184,Coldstream Homestead Montebello,5
49,CONCERNED CITIZENS OF FOREST PARK,51.12773142,Concerned Citizens Of Forest Park,3
50,COPPIN HEIGHTS/ASH-CO-EAST,122.8554458,Coppin Heights/Ash-Co-East,4
51,CROSS COUNTRY,379.138317,Cross Country,4
52,CROSS KEYS,178.0538199,Cross Keys,1
53,CURTIS BAY,327.1102533,Curtis Bay,1
54,CURTIS BAY INDUSTRIAL AREA,268.0189864,Curtis Bay Industrial Area,5
55,CYLBURN,141.4020287,Cylburn,4
56,DARLEY PARK,33.25761379,Darley Park,4
57,DICKEYVILLE,136.4020901,Dickeyville,4
58,DOLFIELD,108.837037,Dolfield,2
59,DORCHESTER,121.9687418,Dorchester,4
60,DOWNTOWN,260.7037376,Downtown,2
61,DRUID HEIGHTS,57.92978096,Druid Heights,2
62,DRUID HILL PARK,623.816703,Druid Hill Park,4
63,DUNBAR-BROADWAY,109.8017046,Dunbar-Broadway,3
64,DUNDALK MARINE TERMINAL,273.975457,Dundalk Marine Terminal,3
65,EAST ARLINGTON,82.78270442,East Arlington,4
66,EAST BALTIMORE MIDWAY,191.8843691,East Baltimore Midway,2
67,EASTERWOOD,49.43469426,Easterwood,3
68,EASTWOOD,17.95191684,Eastwood,5
69,EDMONDSON VILLAGE,118.9311427,Edmondson Village,3
70,EDNOR GARDENS-LAKESIDE,326.8421031,Ednor Gardens-Lakeside,2
71,ELLWOOD PARK/MONUMENT,89.24435216,Ellwood Park/Monument,5
72,EVERGREEN,36.83499499,Evergreen,1
73,EVERGREEN LAWN,34.17785144,Evergreen Lawn,4
74,FAIRFIELD AREA,1538.745527,Fairfield Area,3
75,FAIRMONT,106.0229325,Fairmont,1
76,FALLSTAFF,189.1429921,Fallstaff,1
77,FEDERAL HILL,95.30517579,Federal Hill,4
78,FELLS POINT,184.3575511,Fells Point,3
79,FOREST PARK,99.25092614,Forest Park,5
80,FOREST PARK GOLF COURSE,65.92456877,Forest Park Golf Course,4
81,FRANKFORD,1359.880447,Frankford,4
82,FRANKLIN SQUARE,110.1535747,Franklin Square,1
83,FRANKLINTOWN,381.0261213,Franklintown,1
84,FRANKLINTOWN ROAD,78.65419945,Franklintown Road,1
85,GARWYN OAKS,84.06818527,Garwyn Oaks,1
86,GAY STREET,70.13748312,Gay Street,5
87,GLEN,478.2346183,Glen,2
88,GLEN OAKS,172.323651,Glen Oaks,2
89,GLENHAM-BELHAR,479.641196,Glenham-Belhar,3
90,GRACELAND PARK,200.0239382,Graceland Park,2
91,GREEKTOWN,143.6440682,Greektown,5
92,GREENMOUNT CEMETERY,68.4133596,Greenmount Cemetery,3
93,GREENMOUNT WEST,64.08180302,Greenmount West,5
94,GREENSPRING,111.2677794,Greenspring,3
95,GROVE PARK,219.7139184,Grove Park,5
96,GUILFORD,353.7439602,Guilford,4
97,GWYNNS FALLS,114.398419,Gwynns Falls,5
98,GWYNNS FALLS/LEAKIN PARK,477.0434184,Gwynns Falls/Leakin Park,2
99,HAMPDEN,393.2491676,Hampden,5
100,HANLON-LONGWOOD,278.516253,Hanlon-Longwood,2
101,HAMILTON HILLS,730.8345736,Hamilton Hills,1
102,HARLEM PARK,199.7913553,Harlem Park,4
103,HARWOOD,45.39598585,Harwood,3
104,HAWKINS POINT,1257.248602,Hawkins Point,2
105,HERITAGE CROSSING,54.5160405,Heritage Crossing,2
106,HERRING RUN PARK,154.1073051,Herring Run Park,3
107,HIGHLANDTOWN,90.94920074,Highlandtown,1
108,HILLEN,107.9730501,Hillen,5
109,HOES HEIGHTS,49.61810388,Hoes Heights,2
110,HOLABIRD INDUSTRIAL PARK,361.0462256,Holabird Industrial Park,1
111,HOLLINS MARKET,68.45062547,Hollins Market,4
112,HOMELAND,394.0702574,Homeland,5
113,HOPKINS BAYVIEW,265.7848013,Hopkins Bayview,2
114,HOWARD PARK,676.7850853,Howard Park,1
115,HUNTING RIDGE,167.5690809,Hunting Ridge,4
116,IDLEWOOD,133.1226543,Idlewood,4
117,INNER HARBOR,154.4965504,Inner Harbor,5
118,IRVINGTON,568.8628277,Irvington,1
119,JOHNS HOPKINS HOMEWOOD,164.1595671,Johns Hopkins Homewood,2
120,JOHNSTON SQUARE,109.3611988,Johnston Square,1
121,JONES FALLS AREA,179.2069996,Jones Falls Area,1
122,JONESTOWN,86.05375763,Jonestown,1
123,BAYVIEW,59.78610724,Bayview,4
124,KENILWORTH PARK,92.81995321,Kenilworth Park,5
125,KERNEWOOD,46.05211203,Kernewood,1
126,KESWICK,51.18248693,Keswick,5
127,KRESSON,171.4831004,Kresson,5
128,LAKE EVESHAM,45.49738975,Lake Evesham,2
129,LAKE WALKER,129.8905488,Lake Walker,4
130,LAKELAND,350.7756067,Lakeland,2
131,LANGSTON HUGHES,38.70176093,Langston Hughes,3
132,LAURAVILLE,378.4393008,Lauraville,4
133,LEVINDALE,94.6054734,Levindale,3
134,LIBERTY SQUARE,74.89312492,Liberty Square,3
135,LITTLE ITALY,32.0212461,Little Italy,4
136,LOCH RAVEN,365.0860056,Loch Raven,5
137,LOCUST POINT,85.95158862,Locust Point,1
138,LOCUST POINT INDUSTRIAL AREA,510.8173654,Locust Point Industrial Area,4
139,LOWER HERRING RUN PARK,55.6559183,Lower Herring Run Park,3
140,LOYOLA/NOTRE DAME,192.4992441,Loyola/Notre Dame,3
141,LUCILLE PARK,67.0784689,Lucille Park,5
142,MADISON PARK,101.8142077,Madison Park,1
143,MADISON-EASTEND,66.74725316,Madison-Eastend,2
144,MAYFIELD,83.21767621,Mayfield,4
145,MCELDERRY PARK,80.93620599,McElderry Park,3
146,MEDFIELD,166.5246466,Medfield,3
147,MEDFORD,98.56536765,Medford,3
148,MID-GOVANS,82.4555995,Mid-Govans,4
149,MID-TOWN BELVEDERE,141.3781916,Mid-Town Belvedere,3
150,MIDDLE BRANCH/REEDBIRD PARKS,233.1375851,Middle Branch/Reedbird Parks,5
151,MIDDLE EAST,126.7284072,Middle East,1
152,MIDTOWN-EDMONDSON,95.7214035,Midtown-Edmondson,2
153,MILLHILL,134.2687078,Millhill,2
154,MILTON-MONTFORD,36.34289772,Milton-Montford,5
155,MONDAWMIN,244.9729389,Mondawmin,2
156,MONTEBELLO,297.0628813,Montebello,1
157,MORAVIA-WALTHER,83.84854926,Moravia-Walther,5
158,MORGAN PARK,46.47069861,Morgan Park,3
159,MORGAN STATE UNIVERSITY,168.8095187,Morgan State University,2
160,MORRELL PARK,536.7221179,Morrell Park,5
161,MOSHER,73.76848094,Mosher,3
162,NEW SOUTHWEST/MOUNT CLARE,75.67302247,New Southwest/Mount Clare,2
163,MOUNT HOLLY,79.30884141,Mount Holly,4
164,MOUNT VERNON,145.0625395,Mount Vernon,5
165,MOUNT WASHINGTON,794.2627371,Mount Washington,4
166,MOUNT WINANS,49.00266021,Mount Winans,4
167,MT PLEASANT PARK,161.9121456,Mt Pleasant Park,3
168,NEW NORTHWOOD,205.3651487,New Northwood,4
169,NORTH HARFORD ROAD,409.5726769,North Harford Road,2
170,NORTH ROLAND PARK/POPLAR HILL,392.3998365,North Roland Park/Poplar Hill,3
171,NORTHWEST COMMUNITY ACTION,74.21146215,Northwest Community Action,3
172,O'DONNELL HEIGHTS,101.0562307,O'Donnell Heights,5
173,OAKENSHAWE,40.0041192,Oakenshawe,1
174,OAKLEE,26.07691926,Oaklee,5
175,OLDTOWN,107.12345,Oldtown,2
176,OLIVER,168.2751797,Oliver,4
177,ORANGEVILLE,236.4901033,Orangeville,1
178,ORANGEVILLE INDUSTRIAL AREA,285.0372512,Orangeville Industrial Area,3
179,ORIGINAL NORTHWOOD,110.3544031,Original Northwood,3
180,OTTERBEIN,65.61085855,Otterbein,2
181,OVERLEA,194.7541766,Overlea,4
182,PANWAY/BRADDISH AVENUE,51.93476035,Panway/Braddish Avenue,4
183,PARK CIRCLE,198.7550519,Park Circle,5
184,PARKLANE,79.26942266,Parklane,1
185,PARKSIDE,75.19961886,Parkside,5
186,PARKVIEW/WOODBROOK,63.07015008,Parkview/Woodbrook,5
187,PATTERSON PARK,144.5696298,Patterson Park,5
188,PATTERSON PLACE,24.3247487,Patterson Place,4
189,PEN LUCY,109.8089424,Pen Lucy,1
190,PENN NORTH,86.52870661,Penn North,1
191,PENN-FALLSWAY,86.05618834,Penn-Fallsway,3
192,PENROSE/FAYETTE STREET OUTREACH,225.8738412,Penrose/Fayette Street Outreach,5
193,PERKINS HOMES,23.72053979,Perkins Homes,1
194,PERRING LOCH,139.9654738,Perring Loch,3
195,PIMLICO GOOD NEIGHBORS,189.2497103,Pimlico Good Neighbors,1
196,PLEASANT VIEW GARDENS,29.43996947,Pleasant View Gardens,5
197,POPPLETON,116.5736712,Poppleton,5
198,PORT COVINGTON,212.4371348,Port Covington,5
199,PULASKI INDUSTRIAL AREA,1259.332135,Pulaski Industrial Area,1
200,PURNELL,24.80398332,Purnell,3
201,RADNOR-WINSTON,50.29626238,Radnor-Winston,2
202,RAMBLEWOOD,99.74638126,Ramblewood,3
203,REISTERSTOWN STATION,290.1015282,Reisterstown Station,4
204,REMINGTON,157.0635142,Remington,3
205,RESERVOIR HILL,194.9472487,Reservoir Hill,5
206,RICHNOR SPRINGS,21.37667553,Richnor Springs,3
207,RIDGELY'S DELIGHT,31.39272808,Ridgely's Delight,2
208,RIVERSIDE,188.9324709,Riverside,3
209,ROGNEL HEIGHTS,108.7496104,Rognel Heights,1
210,ROLAND PARK,612.7956993,Roland Park,4
211,ROSEBANK,42.3293164,Rosebank,3
212,ROSEMONT,111.4713598,Rosemont,4
213,ROSEMONT EAST,161.3361922,Rosemont East,2
214,ROSEMONT HOMEOWNERS/TENANTS,40.33445041,Rosemont Homeowners/Tenants,1
215,SABINA-MATTFELDT,75.6123276,Sabina-Mattfeldt,2
216,SAINT AGNES,53.31138051,Saint Agnes,3
217,SAINT HELENA,36.29184877,Saint Helena,5
218,SAINT JOSEPHS,89.43852529,Saint Josephs,4
219,SAINT PAUL,66.35723377,Saint Paul,2
220,SANDTOWN-WINCHESTER,260.1728855,Sandtown-Winchester,5
221,SOUTH BALTIMORE,83.07626889,South Baltimore,2
222,SETON BUSINESS PARK,250.2635046,Seton Business Park,3
223,SETON HILL,47.71423064,Seton Hill,4
224,SHARP-LEADENHALL,44.20201332,Sharp-Leadenhall,5
225,SHIPLEY HILL,116.7039065,Shipley Hill,4
226,SOUTH CLIFTON PARK,60.40002725,South Clifton Park,3
227,SPRING GARDEN INDUSTRIAL AREA,172.9427215,Spring Garden Industrial Area,1
228,STADIUM AREA,105.0652317,Stadium Area,3
229,STONEWOOD-PENTWOOD-WINSTON,59.69286321,Stonewood-Pentwood-Winston,1
230,TAYLOR HEIGHTS,122.3886532,Taylor Heights,5
231,TEN HILLS,213.244178,Ten Hills,3
232,THE ORCHARDS,135.13212,The Orchards,4
233,TOWANDA-GRANTLEY,89.48549874,Towanda-Grantley,1
234,TREMONT,22.53834966,Tremont,2
235,TUSCANY-CANTERBURY,93.13417637,Tuscany-Canterbury,3
236,UNION SQUARE,42.4392161,Union Square,3
237,UNIVERSITY OF MARYLAND,96.64250347,University Of Maryland,1
238,UPLANDS,126.6230538,Uplands,5
239,UPPER FELLS POINT,81.46840858,Upper Fells Point,2
240,UPTON,187.5221864,Upton,3
241,VILLAGES OF HOMELAND,20.27163022,Villages Of Homeland,1
242,VIOLETVILLE,379.4053916,Violetville,2
243,WAKEFIELD,174.716209,Wakefield,3
244,WALBROOK,127.6361681,Walbrook,5
245,WALTHERSON,473.0782323,Waltherson,2
246,WASHINGTON HILL,100.6049578,Washington Hill,5
247,WASHINGTON VILLAGE/PIGTOWN,209.1529002,Washington Village/Pigtown,1
248,WAVERLY,98.95004622,Waverly,3
249,WEST ARLINGTON,174.5329246,West Arlington,3
250,WEST FOREST PARK,238.342363,West Forest Park,5
251,WEST HILLS,214.4542843,West Hills,5
252,WESTFIELD,274.5078014,Westfield,5
253,WESTGATE,213.0492824,Westgate,2
254,WESTPORT,318.5527772,Westport,3
255,WILSON PARK,59.99083622,Wilson Park,2
256,WINCHESTER,53.20175376,Winchester,2
257,WINDSOR HILLS,149.9036469,Windsor Hills,2
258,WINSTON-GOVANS,72.48828954,Winston-Govans,1
259,WOODBERRY,340.3638904,Woodberry,2
260,WOODBOURNE HEIGHTS,86.11668209,Woodbourne Heights,1
261,WOODBOURNE-MCCABE,48.0979175,Woodbourne-McCabe,2
262,WOODMERE,165.3682321,Woodmere,1
263,WYMAN PARK,70.63101901,Wyman Park,1
264,WYNDHURST,194.4206343,Wyndhurst,2
265,YALE HEIGHTS,122.9593753,Yale Heights,5
266,LOWER EDMONDSON VILLAGE,14.4550712,Lower Edmondson Village,4
267,WILHELM PARK,285.1700409,Wilhelm Park,1
268,EDGEWOOD,66.46189977,Edgewood,5
269,EVESHAM PARK,46.99480772,Evesham Park,5
270,BELVEDERE,66.33053398,Belvedere,1
271,WRENLANE,18.4630235,Wrenlane,4
272,YORK-HOMELAND,14.99714727,York-Homeland,3
273,CARE,54.23404076,CARE,2
274,DOWNTOWN WEST,70.20647827,Downtown West,4
275,BELAIR-EDISON,527.9685072,Belair-Edison,1
276,FOUR BY FOUR,45.31841749,Four By Four,4
277,CHARLES VILLAGE,168.5445399,Charles Village,5
278,OLD GOUCHER,37.07183202,Old Goucher,4
